Borough,Neighbourhood,Latitude,Longitude
Scarborough,"Malvern, Rouge",43.806686299999996,-79.19435340000001
Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.16049709999999
Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115
Scarborough,Woburn,43.7709921,-79.21691740000001
Scarborough,Cedarbrae,43.773136,-79.23947609999999
Scarborough,Scarborough Village,43.7447342,-79.23947609999999
Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002
Scarborough,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772
Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.23947609999999
Scarborough,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481
Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001
Scarborough,"Wexford, Maryvale",43.750071500000004,-79.2958491
Scarborough,Agincourt,43.7942003,-79.26202940000002
Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021
Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772
Scarborough,"Steeles West, L'Amoreaux West",43.799525200000005,-79.3183887
Scarborough,Upper Rouge,43.836124700000006,-79.20563609999999
North York,Hillcrest Village,43.8037622,-79.3634517
North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557
North York,Bayview Village,43.7869473,-79.385975
North York,"York Mills, Silver Hills",43.7574902,-79.37471409999999
North York,"Willowdale, Newtonbrook",43.789053,-79.40849279999999
North York,"Willowdale, Willowdale East",43.7701199,-79.40849279999999
North York,York Mills West,43.752758299999996,-79.4000493
North York,"Willowdale, Willowdale West",43.7827364,-79.4422593
North York,Parkwoods,43.7532586,-79.3296565
North York,Don Mills,43.745905799999996,-79.352188
North York,Don Mills,43.72589970000001,-79.340923
North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593
North York,"Northwood Park, York University",43.7679803,-79.48726190000001
North York,Downsview,43.737473200000004,-79.46476329999999
North York,Downsview,43.7390146,-79.5069436
North York,Downsview,43.7284964,-79.49569740000001
North York,Downsview,43.7616313,-79.52099940000001
North York,Victoria Village,43.725882299999995,-79.31557159999998
East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937
East York,Woodbine Heights,43.695343900000005,-79.3183887
East Toronto,The Beaches,43.67635739999999,-79.2930312
East York,Leaside,43.7090604,-79.3634517
